user_id,age,gender,city_tier,membership_level,historical_gmv,historical_orders,activity_score,coupon_sensitivity,treatment,gmv
10001,39,0,2,0,420.28,0,68.41,0.12,0,113.91
10002,33,0,2,1,51.49,0,52.85,0.622,0,79.2
10003,41,0,4,0,41.84,0,43.94,0.146,0,95.86
10004,50,0,3,1,111.2,0,37.4,0.331,0,96.3
10005,32,1,2,1,401.23,1,29.65,0.682,0,133.71
10006,32,0,3,0,36.95,1,23.0,0.831,1,146.48
10007,50,0,2,1,523.02,2,23.59,0.259,1,172.34
10008,42,1,2,2,20.67,0,10.15,0.299,0,76.18
10009,30,0,2,0,110.38,0,15.9,0.372,0,91.97
10010,40,1,2,1,27.23,0,56.52,0.273,0,85.27
10011,30,1,3,3,6.48,0,36.38,0.449,0,99.48
10012,30,0,3,1,230.38,1,20.5,0.253,0,85.74
10013,37,1,4,2,119.9,0,28.09,0.204,0,101.33
10014,18,1,2,2,27.76,0,49.78,0.369,1,125.52
10015,18,0,3,0,79.84,0,33.54,0.493,0,117.06
10016,29,0,2,0,252.19,1,54.89,0.398,0,101.58
10017,24,1,2,2,95.41,0,29.16,0.188,0,97.3
10018,38,1,4,2,116.93,0,33.81,0.185,0,116.57
10019,25,1,2,0,92.01,0,43.76,0.862,1,168.32
10020,20,0,2,1,73.79,0,14.01,0.513,1,118.19
10021,49,1,2,1,72.65,0,35.04,0.247,0,109.43
10022,32,0,2,2,70.13,0,36.18,0.894,1,186.82
10023,35,1,3,1,60.11,1,41.29,0.098,0,41.15
10024,20,1,4,3,43.78,0,10.72,0.102,0,103.08
10025,29,1,3,3,94.1,2,62.33,0.464,1,127.0
10026,36,1,4,2,68.86,0,47.08,0.399,1,130.88
10027,23,1,3,1,41.02,0,22.85,0.491,0,74.96
10028,38,1,4,1,372.12,0,19.31,0.479,1,182.94
10029,28,0,1,0,651.43,1,22.07,0.358,0,146.63
10030,32,1,4,1,148.39,0,26.75,0.617,1,128.61
10031,28,1,2,1,160.74,0,5.69,0.419,0,68.16
10032,53,0,4,1,64.65,0,44.13,0.41,1,121.05
10033,34,1,1,1,534.02,2,26.61,0.369,0,136.93
10034,24,0,3,1,1194.9,4,18.19,0.792,1,239.47
10035,43,1,3,2,121.93,0,18.17,0.238,1,161.92
10036,22,1,4,1,79.38,0,16.76,0.262,0,74.4
10037,37,0,3,0,223.58,0,34.89,0.431,0,83.73
10038,18,1,2,1,173.25,0,7.16,0.423,0,85.2
10039,21,0,3,3,81.44,1,47.08,0.597,0,124.78
10040,36,1,2,2,261.24,0,7.38,0.18,0,107.84
10041,42,1,2,0,457.51,1,35.03,0.403,1,160.15
10042,36,0,2,1,57.8,0,10.6,0.384,0,64.35
10043,33,0,2,3,3135.18,5,19.15,0.487,1,444.17
10044,31,0,3,0,23.58,0,11.44,0.819,1,83.59
