user_id,user_type,device_type,group,historical_dwell_time,dwell_time,ctr,retention_next_day
U_10000,old,iOS,control,788.5358275805578,684.811383354797,0.1099849226047731,0
U_10001,old,iOS,treatment,2397.097243082403,2641.669481181725,0.042126716044382256,0
U_10002,old,iOS,treatment,4265.201772313971,4136.235975497269,0.06085246906805809,0
U_10003,old,Android,treatment,562.1045395638323,739.5984973642466,0.027641796853825118,0
U_10004,new,Android,control,3541.270875280975,3230.0376174595326,0.0701882082834177,1
U_10005,new,Android,treatment,812.0435208377313,475.0767174346536,0.1368581043999574,0
U_10006,new,iOS,treatment,412.55835208633215,610.2281214594012,0.04760115520621569,1
U_10007,old,Android,control,2750.187063001631,2514.798082620946,0.09641480423064283,1
U_10008,old,Android,treatment,1049.4870547340797,1131.2876505313277,0.1274922487208793,0
U_10009,old,Android,control,1405.0540436580247,1757.3597588877972,0.0364290932440877,0
U_10010,new,Android,control,651.3011739056707,7398.477410570295,0.08552455923058958,1
U_10011,old,Android,treatment,780.4182872099511,1077.8975383063125,0.02619825080407411,1
U_10012,old,Android,control,2676.9089018787377,2441.0294159572636,0.11611391569719798,1
U_10013,new,iOS,treatment,715.7662455841124,619.5279937921695,0.0488811944207844,0
U_10014,new,Android,treatment,285.1665311887994,386.77885967019444,0.05030523979007525,0
U_10015,new,iOS,control,1398.6221643874323,1592.2817418934358,0.1556754913371324,0
U_10016,old,iOS,control,571.7801167915561,650.6858573477098,0.07761715040740946,0
U_10017,old,iOS,treatment,596.2215039541875,742.340507984641,0.09935732536479709,0
U_10018,old,iOS,control,3894.4406899901,4244.415556584686,0.13053827894869843,0
U_10019,new,iOS,control,345.61410319602163,281.73642458816016,0.013513723121819572,1
U_10020,old,iOS,control,235.11258900217973,239.04875664331146,0.0488506767572503,0
U_10021,new,iOS,control,1481.3127269480312,1274.9444590150897,0.055528414119992875,1
U_10022,new,Android,treatment,705.7803144525865,603.4362656481511,0.09301180304401854,1
U_10023,old,iOS,control,1260.2889388193578,1337.9769293787035,0.10017927975184722,0
U_10024,old,Android,control,1166.3331802060968,1368.951418367098,0.09966912683322095,0
U_10025,old,iOS,control,1805.434096097553,1701.6120241012266,0.18936662158134887,1
U_10026,new,Android,control,492.8571472099409,477.18333681678126,0.14410802487559388,1
U_10027,old,Android,control,4885.917109347787,4051.78065287382,0.10771048293148425,0
U_10028,old,Android,control,460.4646106212922,460.96309667576634,0.11653511853332549,0
U_10029,new,Android,control,1284.7182295449982,,0.16285480573142277,0
U_10030,old,iOS,treatment,2507.1882627958494,3309.740252161721,0.11514104761297206,0
U_10031,new,Android,treatment,490.13131973460435,,0.034839900785323036,0
U_10032,new,Android,treatment,396.79001334079715,388.78047001286046,0.04537472798077898,0
U_10033,old,Android,treatment,3384.4942276649163,,0.08038137433076865,0
U_10034,old,Android,treatment,678.9393383499885,896.7339747135456,0.04664313042569954,1
U_10035,old,iOS,control,923.2400111880978,,0.016778420806578768,0
U_10036,old,Android,treatment,3050.5206411749505,3506.7470137632135,0.11801799457830689,0
U_10037,new,iOS,treatment,925.3645335055609,935.5066684990991,0.05081500026579544,0
U_10038,old,Android,control,356.2046598857055,418.57148797421604,0.024978261444117147,0
U_10039,old,iOS,control,6068.505863306802,,0.058376188654055715,1
U_10040,new,Android,treatment,588.9764243619527,707.2670504063616,0.03584608465225996,1
U_10041,old,iOS,control,1086.8235594851362,1064.5149015265574,0.08597492636568123,0
U_10042,new,iOS,treatment,1104.360998945576,9047.391830237704,0.013157182577043344,0
U_10043,old,Android,treatment,2473.233850942678,3624.225562562024,0.15123311143184393,0
U_10044,new,Android,control,4321.155819908258,4398.978040178397,0.25183247801142533,0
U_10045,old,Android,control,397.4884462227795,355.1115681885932,0.13675656406128986,1
U_10046,old,iOS,treatment,2904.400135707997,2712.20841800477,0.1454238218570746,0
U_10047,old,iOS,control,2717.936257176651,2192.0152659794444,0.017175841727294652,1
U_10048,old,Android,control,1344.1114723643802,1268.926297901521,0.041136741304553234,0
U_10049,new,Android,control,1689.5436116651365,2177.4319926860694,0.206042612741454,0
U_10050,old,Android,treatment,3167.3153053058613,3409.661952795492,0.04539190987005654,1
U_10051,old,Android,treatment,496.5331055467353,713.1206005638453,0.04455308524559584,0
U_10052,old,Android,control,6081.663817969224,5962.37471716198,0.17813654908132537,0
U_10053,old,Android,control,431.04417738310354,354.6749775783802,0.11418862498536711,0
U_10054,old,Android,control,604.8420575813659,561.9093532474368,0.08213379057642509,0
U_10055,old,Android,control,1216.5694470616068,982.8078315505282,0.34985179644851955,1
U_10056,new,Android,treatment,4197.931461884691,3951.6518818649392,0.048231874192842535,0
U_10057,new,Android,treatment,703.304160881134,658.650545571248,0.037216026912220736,0
U_10058,new,Android,control,877.2988087584109,626.7680790007654,0.13771716396392406,1
U_10059,old,iOS,treatment,4716.787678126018,6828.7996608604935,0.11088741799656711,1
U_10060,old,iOS,control,1179.6415180464194,1216.9801855261783,0.09161115190071809,1
U_10061,new,iOS,control,350.59979682477694,314.5084363885362,0.03246000035902743,0
U_10062,old,Android,control,1074.308544185907,1110.0439804458274,0.05095097893145681,1
U_10063,old,iOS,control,4491.1041072895605,3928.269693172696,0.11690557304879211,1
U_10064,new,iOS,treatment,952.4968129094368,616.5397204682658,0.12544429331545373,0
U_10065,old,Android,control,7028.629350636236,10145.852789747743,0.19968056555915262,1
U_10066,new,Android,treatment,1624.1545855434445,1803.97315286493,0.10194074038307749,1
U_10067,old,Android,treatment,895.4919552892725,963.320717668108,0.02425289298112272,1
U_10068,new,Android,control,937.5366092008423,665.5692189473405,0.08923438662102542,1
U_10069,old,Android,control,757.97158078906,588.0931184650816,0.06164049463961186,1
U_10070,old,Android,control,878.7267305216294,1096.80367311146,0.07877074319979661,0
U_10071,new,Android,treatment,32391.85120551686,42864.59164074482,0.0745106520385364,0
U_10072,new,Android,control,2033.0539925678415,2262.7530179978103,0.08842030608616022,0
U_10073,old,iOS,control,2987.2209269273417,2487.573707286248,0.006843587024392041,0
U_10074,old,Android,control,911.1213875254363,1117.4868267833758,0.11493643916121714,0
U_10075,old,iOS,treatment,5265.269656760673,6632.194333338532,0.10654864887470189,1
U_10076,old,iOS,treatment,3614.659244224515,4684.315090120873,0.12228766252972334,0
U_10077,new,Android,control,4054.9425340056064,4326.3221650146625,0.011543531565609142,0
U_10078,old,iOS,control,6501.0027018460205,5031.463538010776,0.031192079143920526,0
