user_id,age_group,gender
U_10001,25-34,M
U_10002,45+,M
U_10003,35-44,M
U_10004,25-34,F
U_10005,18-24,F
U_10006,18-24,F
U_10007,18-24,M
U_10008,45+,F
U_10009,35-44,F
U_10010,35-44,F
U_10011,18-24,F
U_10012,45+,F
U_10013,35-44,unknown
U_10014,18-24,M
U_10015,18-24,F
U_10016,18-24,M
U_10017,25-34,M
U_10018,25-34,M
U_10019,25-34,M
U_10020,25-34,M
U_10021,35-44,M
U_10022,18-24,M
U_10023,25-34,unknown
U_10024,25-34,M
U_10025,25-34,F
U_10026,35-44,M
U_10027,18-24,unknown
U_10028,25-34,F
U_10029,25-34,F
U_10030,18-24,F
U_10031,35-44,M
U_10032,18-24,unknown
U_10033,18-24,F
U_10034,45+,F
U_10035,45+,F
U_10036,35-44,M
U_10037,25-34,F
U_10038,18-24,M
U_10039,35-44,F
U_10040,25-34,M
U_10041,18-24,unknown
U_10042,25-34,M
U_10043,18-24,M
U_10044,45+,F
U_10045,25-34,F
U_10046,35-44,F
U_10047,25-34,M
U_10048,25-34,M
U_10049,25-34,F
U_10050,18-24,unknown
U_10051,45+,F
U_10052,35-44,F
U_10053,45+,unknown
U_10054,45+,M
U_10055,25-34,F
U_10056,45+,F
U_10057,18-24,M
U_10058,18-24,F
U_10059,18-24,F
U_10060,25-34,M
U_10061,25-34,M
U_10062,25-34,M
U_10063,35-44,F
U_10064,25-34,M
U_10065,25-34,M
U_10066,25-34,F
U_10067,18-24,F
U_10068,35-44,F
U_10069,18-24,F
U_10070,45+,F
U_10071,35-44,unknown
U_10072,18-24,F
U_10073,18-24,F
U_10074,35-44,M
U_10075,35-44,unknown
U_10076,35-44,M
U_10077,35-44,M
U_10078,18-24,M
U_10079,25-34,M
U_10080,18-24,unknown
U_10081,45+,F
U_10082,35-44,F
U_10083,25-34,F
U_10084,18-24,F
U_10085,25-34,M
U_10086,25-34,F
U_10087,35-44,F
U_10088,35-44,M
U_10089,45+,F
U_10090,25-34,M
U_10091,18-24,M
U_10092,35-44,M
U_10093,35-44,M
U_10094,25-34,F
U_10095,35-44,F
U_10096,25-34,M
U_10097,25-34,F
U_10098,25-34,F
U_10099,18-24,M
U_10100,18-24,M
U_10101,18-24,unknown
U_10102,35-44,F
U_10103,25-34,unknown
U_10104,25-34,M
U_10105,45+,F
U_10106,18-24,M
U_10107,25-34,M
U_10108,35-44,F
U_10109,18-24,M
U_10110,18-24,M
U_10111,25-34,M
U_10112,18-24,M
U_10113,45+,F
U_10114,35-44,F
U_10115,35-44,M
U_10116,45+,M
U_10117,35-44,M
U_10118,18-24,F
