order_id,region_id,hour,date,day_of_week,is_weekend,weather,temperature,humidity,wind_speed,region_type,region_density,avg_income,price,price_level,price_increase,price_increase_pct,order_volume,ontime_rate,rider_supply,gmv,user_complaint_rate,competitor_price,holiday,promotion_active,historical_ontime_rate,historical_rider_supply,historical_order_volume,is_peak,true_cate,selection_bias,price_elasticity
ORD_20240101_R01_00,R01,0,2024-01-01,0,False,snowy,-10.5,88.4,8.8,suburb,0.3,25.7,11.39,high,4.39,0.627,50,0.711,20,0.252,0.045,5.62,True,True,0.689,20,62,False,0.2,1.0,0.5
ORD_20240101_R01_01,R01,1,2024-01-01,0,False,sunny,-1.9,46.7,8.1,suburb,0.3,25.7,7.23,low,0.23,0.033,67,0.861,37,0.24,0.038,8.33,True,False,0.844,40,88,False,0.02,0.0,-0.4
ORD_20240101_R01_02,R01,2,2024-01-01,0,False,sunny,-8.6,68.4,6.5,suburb,0.3,25.7,8.04,low,1.04,0.149,64,0.842,20,0.247,0.028,7.85,True,False,0.847,22,98,False,0.02,0.0,-0.4
ORD_20240101_R01_03,R01,3,2024-01-01,0,False,snowy,-11.7,53.7,24.7,suburb,0.3,25.7,12.67,high,5.67,0.81,50,0.741,20,0.274,0.077,6.89,True,False,0.781,17,56,False,0.2,1.0,0.5
ORD_20240101_R01_05,R01,5,2024-01-01,0,False,sunny,-2.8,62.2,2.5,suburb,0.3,25.7,6.26,low,-0.74,-0.106,73,0.825,25,0.237,0.032,8.96,True,False,0.807,21,72,False,0.02,0.0,-0.4
ORD_20240101_R01_06,R01,6,2024-01-01,0,False,snowy,-8.3,68.3,12.5,suburb,0.3,25.7,11.69,high,4.69,0.67,58,0.709,23,0.298,0.056,6.97,True,False,0.709,34,62,False,0.2,1.0,0.5
ORD_20240101_R01_07,R01,7,2024-01-01,0,False,snowy,-8.7,33.5,21.8,suburb,0.3,25.7,15.0,high,6.5,0.765,120,0.732,20,0.693,0.069,8.61,True,False,0.681,13,122,True,0.2,1.0,0.5
ORD_20240101_R01_08,R01,8,2024-01-01,0,False,sunny,0.2,42.7,6.2,suburb,0.3,25.7,10.12,low,1.62,0.191,148,0.819,24,0.602,0.07,7.87,True,False,0.793,26,155,True,0.02,0.0,-0.4
ORD_20240101_R01_09,R01,9,2024-01-01,0,False,sunny,-3.8,43.2,0.6,suburb,0.3,25.7,6.81,low,-0.19,-0.027,70,0.877,24,0.24,0.017,7.67,True,False,0.887,24,77,False,0.02,0.0,-0.4
ORD_20240101_R01_10,R01,10,2024-01-01,0,False,snowy,-13.1,77.1,18.2,suburb,0.3,25.7,11.76,high,4.76,0.68,50,0.721,20,0.258,0.065,5.42,True,False,0.731,22,49,False,0.2,1.0,0.5
